class,person,video,path,processed
College office,person2,office_1_aug_8ffb5a9a.mp4,/content/drive/MyDrive/all dataset/College office/person2/office_1_aug_8ffb5a9a.mp4,0
College office,person3,office_1.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1.mp4,0
College office,person3,office_1_aug_1.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_1.mp4,0
College office,person3,office_1_aug_3.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_3.mp4,0
College office,person3,office_1_aug_7.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_7.mp4,0
College office,person3,office_1_aug_8.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_8.mp4,0
College office,person3,office_1_aug_9.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_9.mp4,0
College office,person3,office_1_aug_10.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_10.mp4,0
College office,person3,office_1_aug_11.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_11.mp4,0
College office,person3,office_1_aug_12.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_12.mp4,0
College office,person3,office_1_aug_14.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_14.mp4,0
College office,person3,office_1_aug1.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug1.mp4,0
College office,person3,office_1_aug_bb5bb25d.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_bb5bb25d.mp4,0
College office,person3,office_1_aug_b3b09939.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_b3b09939.mp4,0
College office,person3,office_1_aug_44501898.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_44501898.mp4,0
College office,person3,office_1_aug_f9b45fe6.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_f9b45fe6.mp4,0
College office,person3,office_1_aug_2e15ae95.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_2e15ae95.mp4,0
College office,person3,office_1_aug_bc330b5e.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_bc330b5e.mp4,0
College office,person3,office_1_aug_ff180d7d.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_ff180d7d.mp4,0
College office,person3,office_1_aug_3dc0b386.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_3dc0b386.mp4,0
College office,person3,office_1_aug_967a2629.mp4,/content/drive/MyDrive/all dataset/College office/person3/office_1_aug_967a2629.mp4,0
College office,person4,office_1.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1.mp4,0
College office,person4,office_1_aug_1.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_1.mp4,0
College office,person4,office_1_aug_4.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_4.mp4,0
College office,person4,office_1_aug_6.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_6.mp4,0
College office,person4,office_1_aug_7.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_7.mp4,0
College office,person4,office_1_aug_8.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_8.mp4,0
College office,person4,office_1_aug_10.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_10.mp4,0
College office,person4,office_1_aug_12.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_12.mp4,0
College office,person4,office_1_aug_13.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_13.mp4,0
College office,person4,office_1_aug_14.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_14.mp4,0
College office,person4,office_1_aug1.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug1.mp4,0
College office,person4,office_1_aug_70f601e6.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_70f601e6.mp4,0
College office,person4,office_1_aug_00bd45bc.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_00bd45bc.mp4,0
College office,person4,office_1_aug_49b84d2c.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_49b84d2c.mp4,0
College office,person4,office_1_aug_dd9a5962.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_dd9a5962.mp4,0
College office,person4,office_1_aug_3088496f.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_3088496f.mp4,0
College office,person4,office_1_aug_214b8474.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_214b8474.mp4,0
College office,person4,office_1_aug_447a7251.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_447a7251.mp4,0
College office,person4,office_1_aug_def3c1ce.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_def3c1ce.mp4,0
College office,person4,office_1_aug_1b293474.mp4,/content/drive/MyDrive/all dataset/College office/person4/office_1_aug_1b293474.mp4,0
College office,person5,office_1.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1.mp4,0
College office,person5,office_1_aug_1.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_1.mp4,0
College office,person5,office_1_aug_2.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_2.mp4,0
College office,person5,office_1_aug_3.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_3.mp4,0
College office,person5,office_1_aug_4.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_4.mp4,0
College office,person5,office_1_aug_8.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_8.mp4,0
College office,person5,office_1_aug_11.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_11.mp4,0
College office,person5,office_1_aug_12.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_12.mp4,0
College office,person5,office_1_aug_13.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_13.mp4,0
College office,person5,office_1_aug_14.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_14.mp4,0
College office,person5,office_1_aug1.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug1.mp4,0
College office,person5,office_1_aug_e8e9c70d.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_e8e9c70d.mp4,0
College office,person5,office_1_aug_5ecb650a.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_5ecb650a.mp4,0
College office,person5,office_1_aug_6c438fb7.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_6c438fb7.mp4,0
College office,person5,office_1_aug_4ec4b642.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_4ec4b642.mp4,0
College office,person5,office_1_aug_0800a2fc.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_0800a2fc.mp4,0
College office,person5,office_1_aug_a44e76e6.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_a44e76e6.mp4,0
College office,person5,office_1_aug_f5754191.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_f5754191.mp4,0
College office,person5,office_1_aug_03098fc4.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_03098fc4.mp4,0
College office,person5,office_1_aug_a3f99ebf.mp4,/content/drive/MyDrive/all dataset/College office/person5/office_1_aug_a3f99ebf.mp4,0
College office,person6,office_1.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1.mp4,0
College office,person6,office_1_aug_2.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_2.mp4,0
College office,person6,office_1_aug_4.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_4.mp4,0
College office,person6,office_1_aug_7.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_7.mp4,0
College office,person6,office_1_aug_8.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_8.mp4,0
College office,person6,office_1_aug_9.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_9.mp4,0
College office,person6,office_1_aug_10.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_10.mp4,0
College office,person6,office_1_aug_11.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_11.mp4,0
College office,person6,office_1_aug_13.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_13.mp4,0
College office,person6,office_1_aug_14.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_14.mp4,0
College office,person6,office_1_aug1.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug1.mp4,0
College office,person6,office_1_aug_b50a93fb.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_b50a93fb.mp4,0
College office,person6,office_1_aug_c764a57c.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_c764a57c.mp4,0
College office,person6,office_1_aug_4f7bdc42.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_4f7bdc42.mp4,0
College office,person6,office_1_aug_c87f91be.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_c87f91be.mp4,0
College office,person6,office_1_aug_8e425934.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_8e425934.mp4,0
College office,person6,office_1_aug_53e0f872.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_53e0f872.mp4,0
College office,person6,office_1_aug_0da70858.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_0da70858.mp4,0
College office,person6,office_1_aug_9cc2bfab.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_9cc2bfab.mp4,0
College office,person6,office_1_aug_493a03f1.mp4,/content/drive/MyDrive/all dataset/College office/person6/office_1_aug_493a03f1.mp4,0
College office,person7,office_1.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1.mp4,0
College office,person7,office_1_aug_2.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_2.mp4,0
College office,person7,office_1_aug_3.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_3.mp4,0
College office,person7,office_1_aug_6.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_6.mp4,0
College office,person7,office_1_aug_7.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_7.mp4,0
College office,person7,office_1_aug_8.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_8.mp4,0
College office,person7,office_1_aug_9.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_9.mp4,0
College office,person7,office_1_aug_10.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_10.mp4,0
College office,person7,office_1_aug_12.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_12.mp4,0
College office,person7,office_1_aug_14.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_14.mp4,0
College office,person7,office_1_aug1.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug1.mp4,0
College office,person7,office_1_aug_a8f4b91e.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_a8f4b91e.mp4,0
College office,person7,office_1_aug_1cec6439.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_1cec6439.mp4,0
College office,person7,office_1_aug_05a11322.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_05a11322.mp4,0
College office,person7,office_1_aug_b0faa69b.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_b0faa69b.mp4,0
College office,person7,office_1_aug_a23b9a18.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_a23b9a18.mp4,0
College office,person7,office_1_aug_159c79cc.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_159c79cc.mp4,0
College office,person7,office_1_aug_9cdcb16e.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_9cdcb16e.mp4,0
College office,person7,office_1_aug_7b3b8f90.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_7b3b8f90.mp4,0
College office,person7,office_1_aug_e83bf674.mp4,/content/drive/MyDrive/all dataset/College office/person7/office_1_aug_e83bf674.mp4,0
College office,person8,office_1.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1.mp4,0
College office,person8,office_1_aug_1.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_1.mp4,0
College office,person8,office_1_aug_2.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_2.mp4,0
College office,person8,office_1_aug_3.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_3.mp4,0
College office,person8,office_1_aug_4.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_4.mp4,0
College office,person8,office_1_aug_5.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_5.mp4,0
College office,person8,office_1_aug_6.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_6.mp4,0
College office,person8,office_1_aug_9.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_9.mp4,0
College office,person8,office_1_aug_13.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_13.mp4,0
College office,person8,office_1_aug_14.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_14.mp4,0
College office,person8,office_1_aug1.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug1.mp4,0
College office,person8,office_1_aug_f8c77ec4.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_f8c77ec4.mp4,0
College office,person8,office_1_aug_d8c27c9b.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_d8c27c9b.mp4,0
College office,person8,office_1_aug_6f9027e0.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_6f9027e0.mp4,0
College office,person8,office_1_aug_b808499c.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_b808499c.mp4,0
College office,person8,office_1_aug_dcc783c5.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_dcc783c5.mp4,0
College office,person8,office_1_aug_3a869112.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_3a869112.mp4,0
College office,person8,office_1_aug_cc132a99.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_cc132a99.mp4,0
College office,person8,office_1_aug_6f3de2f8.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_6f3de2f8.mp4,0
College office,person8,office_1_aug_31711bb3.mp4,/content/drive/MyDrive/all dataset/College office/person8/office_1_aug_31711bb3.mp4,0
College office,person9,office_1_aug_1.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_1.mp4,0
College office,person9,office_1_aug_3.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_3.mp4,0
College office,person9,office_1_aug_5.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_5.mp4,0
College office,person9,office_1_aug_6.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_6.mp4,0
College office,person9,office_1_aug_7.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_7.mp4,0
College office,person9,office_1_aug_8.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_8.mp4,0
College office,person9,office_1_aug_10.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_10.mp4,0
College office,person9,office_1_aug_12.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_12.mp4,0
College office,person9,office_1_aug_13.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_13.mp4,0
College office,person9,office_1_aug_14.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_14.mp4,0
College office,person9,office_1_aug_1_aug_7ccc64fc.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_1_aug_7ccc64fc.mp4,0
College office,person9,office_1_aug_10_aug_5f79885f.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_10_aug_5f79885f.mp4,0
College office,person9,office_1_aug_12_aug_caf216e2.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_12_aug_caf216e2.mp4,0
College office,person9,office_1_aug_13_aug_083fa91f.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_13_aug_083fa91f.mp4,0
College office,person9,office_1_aug_14_aug_68c98c56.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_14_aug_68c98c56.mp4,0
College office,person9,office_1_aug_3_aug_4c8ab8fe.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_3_aug_4c8ab8fe.mp4,0
College office,person9,office_1_aug_5_aug_3825af8a.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_5_aug_3825af8a.mp4,0
College office,person9,office_1_aug_6_aug_169d8ce4.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_6_aug_169d8ce4.mp4,0
College office,person9,office_1_aug_7_aug_c238a641.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_7_aug_c238a641.mp4,0
College office,person9,office_1_aug_8_aug_6bd10316.mp4,/content/drive/MyDrive/all dataset/College office/person9/office_1_aug_8_aug_6bd10316.mp4,0
Drinking tea,person1,tea_10.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_10.mp4,0
Drinking tea,person1,tea_11.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_11.mp4,0
Drinking tea,person1,tea_12.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_12.mp4,0
Drinking tea,person1,tea_13.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_13.mp4,0
Drinking tea,person1,tea_92.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_92.mp4,0
Drinking tea,person1,tea_40.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_40.mp4,0
Drinking tea,person1,tea_105.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_105.mp4,0
Drinking tea,person1,tea_53.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_53.mp4,0
Drinking tea,person1,tea_66.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_66.mp4,0
Drinking tea,person1,tea_79.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_79.mp4,0
Drinking tea,person1,tea_10_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_10_aug1.mp4,0
Drinking tea,person1,tea_105_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_105_aug1.mp4,0
Drinking tea,person1,tea_11_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_11_aug1.mp4,0
Drinking tea,person1,tea_13_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_13_aug1.mp4,0
Drinking tea,person1,tea_40_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_40_aug1.mp4,0
Drinking tea,person1,tea_53_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_53_aug1.mp4,0
Drinking tea,person1,tea_66_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_66_aug1.mp4,0
Drinking tea,person1,tea_79_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_79_aug1.mp4,0
Drinking tea,person1,tea_12_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_12_aug1.mp4,0
Drinking tea,person1,tea_92_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person1/tea_92_aug1.mp4,0
Drinking tea,person5,tea_63.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_63.mp4,0
Drinking tea,person5,tea_54.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_54.mp4,0
Drinking tea,person5,tea_62.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_62.mp4,0
Drinking tea,person5,tea_55.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_55.mp4,0
Drinking tea,person5,tea_58.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_58.mp4,0
Drinking tea,person5,tea_57.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_57.mp4,0
Drinking tea,person5,tea_60.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_60.mp4,0
Drinking tea,person5,tea_65.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_65.mp4,0
Drinking tea,person5,tea_56.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_56.mp4,0
Drinking tea,person5,tea_64.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_64.mp4,0
Drinking tea,person5,tea_54_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_54_aug1.mp4,0
Drinking tea,person5,tea_55_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_55_aug1.mp4,0
Drinking tea,person5,tea_56_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_56_aug1.mp4,0
Drinking tea,person5,tea_57_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_57_aug1.mp4,0
Drinking tea,person5,tea_58_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_58_aug1.mp4,0
Drinking tea,person5,tea_60_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_60_aug1.mp4,0
Drinking tea,person5,tea_62_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_62_aug1.mp4,0
Drinking tea,person5,tea_63_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_63_aug1.mp4,0
Drinking tea,person5,tea_64_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_64_aug1.mp4,0
Drinking tea,person5,tea_65_aug1.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person5/tea_65_aug1.mp4,0
Drinking tea,person7,tea_82.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person7/tea_82.mp4,0
Drinking tea,person7,tea_90.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person7/tea_90.mp4,0
Drinking tea,person7,tea_88.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person7/tea_88.mp4,0
Drinking tea,person7,tea_81.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person7/tea_81.mp4,0
Drinking tea,person7,tea_86.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person7/tea_86.mp4,0
Drinking tea,person7,tea_85.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person7/tea_85.mp4,0
Drinking tea,person7,tea_87.mp4,/content/drive/MyDrive/all dataset/Drinking tea/person7/tea_87.mp4,0
